Słowo,Wartość,Ranga
străzii,2,846
sturdza,2,847
renovate,2,848
restaurante,2,849
caragiale,2,850
antichitate,2,851
evul,2,852
slave,2,853
polonia,2,854
otoman,2,855
franceză,2,856
bizantine,2,857
românii,2,858
general,2,859
istoriei,2,860
alți,2,861
deosebit,2,862
deja,2,863
științifice,2,864
crescut,2,865
semnificativ,2,866
brașovul,2,867
reprezentanții,2,868
introducerea,2,869
literar,2,870
tipărit,2,871
publicat,2,872
dramaturg,2,873
grigorescu,2,874
fondatorii,2,875
națională,2,876
xx-lea,2,877
seamă,2,878
mișcării,2,879
sursele,2,880
mihail,2,881
aparte,2,882
d,2,883
george,2,884
tudor,2,885
ivit,2,886
marin,2,887
eugen,2,888
față,2,889
in,2,890
emil,2,891
gătite,2,892
pește,2,893
vânat,2,894
având,2,895
influențată,2,896
turcească,2,897
precădere,2,898
antice,2,899
rafinată,2,900
tehnici,2,901
cărnuri,2,902
mâncăruri,2,903
varză,2,904
majoritatea,2,905
mei,2,906
locală,2,907
formă,2,908
aceștia,2,909
făceau,2,910
brânză,2,911
fructe,2,912
oi,2,913
scos,2,914
direct,2,915
medievală,2,916
obiceiurile,2,917
adus,2,918
afle,2,919
finalul,2,920
alimentare,2,921
mămăligă,2,922
porumbului,2,923
permite,2,924
început,2,925
afectată,2,926
boierești,2,927
grâne,2,928
spirit,2,929
creșterea,2,930
împreună,2,931
autohtone,2,932
pepeni,2,933
boierii,2,934
bucate,2,935
cluj,2,936
publicată,2,937
rețete,2,938
transilvaniei,2,939
oară,2,940
abia,2,941
făcut,2,942
standardizarea,2,943
preparatelor,2,944
ziua,2,945
înaintea,2,946
scaunul,2,947
vama,2,948
veche,2,949
regal,2,950
sigismund,2,951
rege,2,952
aferent,2,953
trecut,2,954
fiica,2,955
principesa,2,956
fostei,2,957
războiului,2,958
muzeu,2,959
restaurare,2,960
moștenitorilor,2,961
ministerul,2,962
data,2,963
principesei,2,964
dominic,2,965
arhiducesa,2,966
magdalena,2,967
holzhausen,2,968
sandhofer,2,969
îmbrăcat,2,970
cheie,2,971
fusese,2,972
castelului,2,973
redeschiderea,2,974
academia,2,975
știință,2,976
tehnologie,2,977
agh,2,978
fac,2,979
mediului,2,980
aplicată,2,981
povestea,2,982
împărăie,2,983
nume,2,984
munii,2,985
dragonilor,2,986
flori,2,987
muli,2,988
lumea,2,989
cere,2,990
părul,2,991
bunătatea,2,992
facă,2,993
ia,2,994
luat,2,995
mărite,2,996
împărate,2,997
orice,2,998
încerci,2,999
foc,2,1000
miai,2,1001
lucruri,2,1002
plecă,2,1003
caute,2,1004
acetia,2,1005
rou,2,1006
inea,2,1007
dragonii,2,1008
uor,2,1009
decât,2,1010
aceeai,2,1011
tocmai,2,1012
iei,2,1013
îmi,2,1014
zbura,2,1015
pot,2,1016
lua,2,1017
acord,2,1018
vom,2,1019
reuit,2,1020
pădurea,2,1021
magice,2,1022
pădure,2,1023
găsească,2,1024
copacului,2,1025
afla,2,1026
argintie,2,1027
apuce,2,1028
dea,2,1029
bufnie,2,1030
tiu,2,1031
poate,2,1032
treia,2,1033
lacul,2,1034
prins,2,1035
gheaă,2,1036
foame,2,1037
bufnia,2,1038
copac,2,1039
fâlfâit,2,1040
aripi,2,1041
lăsă,2,1042
zboare,2,1043
locuitorii,2,1044
fericii,2,1045
iam,2,1046
vam,2,1047
ora,2,1048
cări,2,1049
oraul,2,1050
cărilor,2,1051
tiau,2,1052
frai,2,1053
casei,2,1054
cutie,2,1055
interzisă,2,1056
camera,2,1057
curioasă,2,1058
seara,2,1059
stătea,2,1060
părea,2,1061
ua,2,1062
hai,2,1063
răspunde,2,1064
dimineaa,2,1065
repede,2,1066
povestesc,2,1067
ceva,2,1068
cheia,2,1069
bibliotecii,2,1070
amândoi,2,1071
minte,2,1072
urmând,2,1073
bună,2,1074
aici,2,1075
spuseră,2,1076
vorbea,2,1077
tie,2,1078
idee,2,1079
spune,2,1080
copiilor,2,1081
mulumim,2,1082
scoase,2,1083
deschide,2,1084
aventurile,2,1085
rămase,2,1086
ba,2,1087
drag,2,1088
animalele,2,1089
curajoasă,2,1090
petrecere,2,1091
veselie,2,1092
singură,2,1093
cal,2,1094
încălecă,2,1095
trecu,2,1096
văi,2,1097
păduri,2,1098
ruptă,2,1099
oboseală,2,1100
descălecă,2,1101
lacăt,2,1102
mâna,2,1103
indicat,2,1104
sperând,2,1105
duce,2,1106
plânse,2,1107
deschise,2,1108
ie,2,1109
hării,2,1110
pustiu,2,1111
veni,2,1112
arătă,2,1113
poieniă,2,1114
inima,2,1115
merseră,2,1116
înnoptă,2,1117
adoarmă,2,1118
aipească,2,1119
binior,2,1120
întuneric,2,1121
elibereze,2,1122
eliberă,2,1123
lipăit,2,1124
pomeni,2,1125
dă,2,1126
îî,2,1127
arătândui,2,1128
mulumind,2,1129
harta,2,1130
apa,2,1131
ajutor,2,1132
fântână,2,1133
lanternă,2,1134
întinse,2,1135
dispăru,2,1136
capătul,2,1137
pagina,2,1138
pornit,2,1139
neobosit,2,1140
apucă,2,1141
cumplită,2,1142
mărul,2,1143
cai,2,1144
sălbatici,2,1145
seamăn,2,1146
crestele,2,1147
munilor,2,1148
vară,2,1149
pânăn,2,1150
umbra,2,1151
trecătoare,2,1152
arbore,2,1153
călu,2,1154
convențional,1,1155
regiunii,1,1156
geografice,1,1157
locuit-o,1,1158
diferențele,1,1159
transformările,1,1160
politice,1,1161
dotat-o,1,1162
recunoașterea,1,1163
subiect,1,1164
sine,1,1165
stătător,1,1166
accepțiune,1,1167
restrânsă,1,1168
adică,1,1169
modern,1,1170
regatului,1,1171
formelor,1,1172
organizare,1,1173
intermediare,1,1174
evenimentelor,1,1175
formarea,1,1176
circa,1,1177
paleoliticul,1,1178
aurignaciene,1,1179
sosit,1,1180
estul,1,1181
orientul,1,1182
peștera,1,1183
anina,1,1184
rămășițe,1,1185
moderni,1,1186
fosilele,1,1187
indivizi,1,1188
numiți,1,1189
cercetători,1,1190
datate,1,1191
vechime,1,1192
calibrate,1,1193
pietrei,1,1194
reprezentată,1,1195
cuprinsul,1,1196
neolitic,1,1197
răspândită,1,1198
cucuteni,1,1199
civilizație,1,1200
reprezentat,1,1201
venirea,1,1202
agricultori,1,1203
sedentari,1,1204
păstori,1,1205
stepele,1,1206
nord-pontice,1,1207
neamuri,1,1208
prezenței,1,1209
hominizilor,1,1210
sprijinită,1,1211
valea,1,1212
dârjovului,1,1213
unelte,1,1214
prund,1,1215
așchii,1,1216
tăioase,1,1217
cremene,1,1218
dârjov,1,1219
toporașe,1,1220
bolovani,1,1221
silex,1,1222
cuarțit,1,1223
tehnica,1,1224
cioplire,1,1225
bifacială,1,1226
caracteristică,1,1227
abbevilliene,1,1228
vii-lea,1,1229
societatea,1,1230
cunoștea,1,1231
profunde,1,1232
transformări,1,1233
achiziții,1,1234
fundamentale,1,1235
agricultură,1,1236
meșteșuguri,1,1237
practici,1,1238
funerare,1,1239
spectaculoase,1,1240
aspecte,1,1241
noii,1,1242
societăți,1,1243
plasticii,1,1244
concretizată,1,1245
diversitate,1,1246
statuete,1,1247
antropomorfe,1,1248
zoomorfe,1,1249
materializări,1,1250
complexe,1,1251
vieți,1,1252
spirituale,1,1253
sacrului,1,1254
urme,1,1255
civilizații,1,1256
hamangia,1,1257
cultură,1,1258
mijlociu,1,1259
cărei,1,1260
evoluție,1,1261
plasează,1,1262
sud-estul,1,1263
bulgariei,1,1264
originară,1,1265
mediteranei,1,1266
curent,1,1267
culturile,1,1268
dudești,1,1269
karanovo,1,1270
simboluri,1,1271
culturi,1,1272
gînditorii,1,1273
descoperiți,1,1274
hartuchi,1,1275
necropolă,1,1276
cernavodă,1,1277
izvoarele,1,1278
uniuni,1,1279
tracice,1,1280
daco-getice,1,1281
charnabon,1,1282
v,1,1283
dromichaites,1,1284
seciv,1,1285
iii,1,1286
regilor,1,1287
oroles,1,1288
rubobostes,1,1289
daco-geții,1,1290
caracterizați,1,1291
viteji,1,1292
drepți,1,1293
traci,1,1294
centralizat,1,1295
actuala,1,1296
comună,1,1297
popești,1,1298
nucet,1,1299
giurgiu,1,1300
argessis,1,1301
argeș,1,1302
amplasată,1,1303
sud-vest,1,1304
capitale,1,1305
menționată,1,1306
antici,1,1307
hellis,1,1308
limitele,1,1309
carpații,1,1310
păduroși,1,1311
țărmul,1,1312
negre,1,1313
gurile,1,1314
bug,1,1315
haemus,1,1316
confluența,1,1317
morava,1,1318
dunărea,1,1319
granița,1,1320
slovaciei,1,1321
cehia,1,1322
austria,1,1323
cursul,1,1324
chiar,1,1325
dincolo,1,1326
amenința,1,1327
interesele,1,1328
implice,1,1329
conflictul,1,1330
pompei,1,1331
susținându-l,1,1332
iulius,1,1333
plănuit,1,1334
campanie,1,1335
împotriva,1,1336
soartă,1,1337
slujitorii,1,1338
sfetnic,1,1339
colaborator,1,1340
vastă,1,1341
erudiție,1,1342
iordanes,1,1343
regia,1,1344
orăștiei,1,1345
actualul,1,1346
grădiștea,1,1347
muncelului,1,1348
hunedoara,1,1349
n-v,1,1350
vechea,1,1351
capitală,1,1352
muntenia,1,1353
menținută,1,1354
i-au,1,1355
regii,1,1356
comosicus,1,1357
coryllus,1,1358
fiul,1,1359
nepot,1,1360
priceput,1,1361
iscusit,1,1362
dio,1,1363
cassius,1,1364
înfruntat,1,1365
bătălii,1,1366
cucerit,1,1367
momente,1,1368
lupte,1,1369
columna,1,1370
roma,1,1371
realizată,1,1372
acelor,1,1373
timpuri,1,1374
apolodor,1,1375
damasc,1,1376
realizator,1,1377
drobeta,1,1378
romanii,1,1379
azi,1,1380
teritorii,1,1381
organizate,1,1382
restul,1,1383
teritoriilor,1,1384
dace,1,1385
stăpânite,1,1386
conduși,1,1387
regi,1,1388
consemnați,1,1389
izvoare,1,1390
iv,1,1391
invaziile,1,1392
succesive,1,1393
determinat,1,1394
retragă,1,1395
prezență,1,1396
retragerii,1,1397
aureliene,1,1398
petrecută,1,1399
semnificat,1,1400
reașezare,1,1401
granițelor,1,1402
eficientă,1,1403
administrare,1,1404
provinciilor,1,1405
fluviului,1,1406
denumite,1,1407
ripensis,1,1408
mediterranea,1,1409
dioecesis,1,1410
complex,1,1411
compartimentele,1,1412
înlocuirea,1,1413
supuse,1,1414
factorii,1,1415
romanizării,1,1416
coloniștii,1,1417
urbanizarea,1,1418
religia,1,1419
impactul,1,1420
asupra,1,1421
autohtonilor,1,1422
factori,1,1423
asimilarea,1,1424
conștient,1,1425
nord-dunăreană,1,1426
romanizate,1,1427
exploata,1,1428
aurul,1,1429
apuseni,1,1430
sarea,1,1431
bazinul,1,1432
târnavelor,1,1433
vechile,1,1434
numărau,1,1435
sucidava,1,1436
dierna,1,1437
napoca,1,1438
porolissum,1,1439
locuitorilor,1,1440
vechilor,1,1441
ținuturile,1,1442
rurale,1,1443
migratoare,1,1444
întemeiat,1,1445
așezări,1,1446
teritoriu,1,1447
vast,1,1448
peninsulei,1,1449
balcanice,1,1450
liniile,1,1451
lingvistice,1,1452
propuse,1,1453
savanții,1,1454
skok,1,1455
jieek,1,1456
daciile,1,1457
sud-dunărene,1,1458
răsărit,1,1459
rol,1,1460
ținându-se,1,1461
cont,1,1462
prezența,1,1463
legiunilor,1,1464
unităților,1,1465
auxiliare,1,1466
aferenți,1,1467
dispersarea,1,1468
acestora,1,1469
configura,1,1470
apărarea,1,1471
latinei,1,1472
frontiera,1,1473
daco-dunăreană,1,1474
viața,1,1475
intensă,1,1476
prestigiul,1,1477
constituie,1,1478
principala,1,1479
explicație,1,1480
rapida,1,1481
cunosc,1,1482
cazuri,1,1483
asimilare,1,1484
limbi,1,1485
prestigiu,1,1486
normanzii,1,1487
debarcați,1,1488
nv-ul,1,1489
franței,1,1490
creștinați,1,1491
angliei,1,1492
bătăliei,1,1493
hastings,1,1494
vorbitori,1,1495
francezei,1,1496
